0	53
0	60
0	75
1	17
1	31
1	57
1	58
1	62
2	16
3	79
4	39
4	95
5	31
5	79
5	91
6	27
6	79
6	82
6	83
6	90
6	96
6	113
6	119
7	8
7	29
7	36
7	45
7	86
7	108
7	113
8	7
8	9
8	12
8	29
8	47
8	84
8	106
8	109
9	8
10	114
11	16
11	27
11	93
12	8
12	106
13	26
13	30
13	43
13	44
13	83
13	87
13	97
13	118
14	25
14	74
14	108
15	52
16	2
16	11
16	28
16	69
16	116
17	1
17	58
17	84
17	86
17	95
17	106
18	21
19	72
20	24
20	27
20	48
20	108
21	18
22	36
22	41
22	49
22	63
22	73
22	93
22	114
23	106
24	20
24	27
24	49
24	67
24	96
24	108
25	14
26	13
26	36
27	6
27	11
27	20
27	24
27	46
28	16
28	60
28	73
28	76
29	7
29	8
29	38
29	59
29	81
29	109
29	114
29	119
30	13
30	37
30	42
30	55
30	83
30	84
30	97
30	112
31	1
31	5
31	64
31	68
31	100
32	86
33	75
34	46
35	109
36	7
36	22
36	26
36	93
36	108
36	111
37	30
37	40
38	29
39	4
39	65
40	37
40	45
40	61
41	22
42	30
42	47
42	71
42	84
42	115
42	118
43	13
43	66
43	68
43	84
43	85
43	97
43	110
43	119
44	13
44	84
44	118
45	7
45	40
45	60
45	78
45	86
45	95
46	27
46	34
46	58
46	60
46	93
46	116
47	8
47	42
47	61
48	20
48	49
48	74
48	88
49	22
49	24
49	48
49	86
50	60
51	61
52	15
52	84
53	0
53	99
54	105
54	119
55	30
56	83
57	1
58	1
58	17
58	46
58	59
58	86
58	106
58	113
59	29
59	58
60	0
60	28
60	45
60	46
60	50
60	107
60	117
61	40
61	47
61	51
61	93
61	106
62	1
63	22
63	103
63	108
64	31
64	100
64	119
65	39
65	86
66	43
66	98
66	119
67	24
67	92
67	95
68	31
68	43
69	16
70	90
71	42
71	104
72	19
73	22
73	28
74	14
74	48
75	0
75	33
76	28
77	97
78	45
78	109
78	118
79	3
79	5
79	6
80	91
80	103
81	29
81	114
82	6
83	6
83	13
83	30
83	56
83	100
83	108
83	114
83	117
84	8
84	17
84	30
84	42
84	43
84	44
84	52
84	119
85	43
85	90
86	7
86	17
86	32
86	45
86	49
86	58
86	65
87	13
87	90
87	96
87	101
88	48
89	113
90	6
90	70
90	85
90	87
90	106
90	118
91	5
91	80
91	109
92	67
93	11
93	22
93	36
93	46
93	61
94	95
95	4
95	17
95	45
95	67
95	94
96	6
96	24
96	87
96	112
97	13
97	30
97	43
97	77
98	66
99	53
100	31
100	64
100	83
100	109
100	118
101	87
101	109
101	117
102	114
103	63
103	80
104	71
105	54
106	8
106	12
106	17
106	23
106	58
106	61
106	90
106	113
107	60
107	108
108	7
108	14
108	20
108	24
108	36
108	63
108	83
108	107
109	8
109	29
109	35
109	78
109	91
109	100
109	101
109	113
110	43
111	36
112	30
112	96
113	6
113	7
113	58
113	89
113	106
113	109
113	114
114	10
114	22
114	29
114	81
114	83
114	102
114	113
115	42
116	16
116	46
117	60
117	83
117	101
118	13
118	42
118	44
118	78
118	90
118	100
118	119
119	6
119	29
119	43
119	54
119	64
119	66
119	84
119	118
